219 191 -31 140 19 -188 -29 -134 -179 281 225 -41 177 20 -232 -30 -169 -248 245 209 -33 158 25 -206 -26 -146 -214
60 82 69 75 103 82 66 87 71 10 24 21 15 33 23 16 28 21 -88 -87 -79 -96 -90 -89 -84 -85 -80
17 0 -59 82 80 -46 6 0 -64 50 26 -52 123 112 -34 38 24 -57 19 -2 -70 85 77 -56 8 -4 -76
181 142 154 50 -185 -23 0 -206 -75 223 165 179 49 -217 -45 -24 -263 -120 209 161 176 50 -201 -31 -14 -239 -98
-44 97 86 -95 90 78 -122 -72 -52 -56 122 122 -119 105 107 -172 -90 -56 -42 128 118 -92 124 116 -142 -60 -34
117 122 119 128 137 121 115 133 112 -98 -114 -95 -107 -120 -113 -98 -101 -99 -24 -44 -22 -36 -52 -42 -23 -28 -23
34 -57 -85 75 -26 -79 77 50 3 50 -64 -107 102 -22 -92 117 72 10 33 -75 -108 79 -38 -98 94 53 2
21 59 52 -108 -76 19 -109 -95 0 40 108 120 -119 -54 68 -144 -101 21 60 130 134 -86 -17 95 -113 -65 47
66 49 64 57 39 50 54 58 48 -140 -163 -140 -150 -171 -153 -144 -143 -147 84 86 86 100 104 98 87 112 86
16 -26 8 78 50 76 118 124 117 -72 -128 -82 -8 -47 -10 53 50 51 -81 -143 -92 -28 -74 -32 34 24 32
49 256 23 1 250 -21 -196 -160 -197 88 311 58 6 270 -22 -250 -208 -256 74 289 50 1 258 -19 -232 -187 -232
-47 53 21 -81 44 19 -115 -77 -60 21 150 125 -26 130 114 -84 -22 5 -46 68 44 -96 45 30 -141 -92 -62
-79 -73 -75 -72 -54 -63 -87 -81 -81 149 178 157 183 224 194 153 181 160 -112 -101 -107 -96 -74 -88 -108 -98 -105
26 -7 -57 104 88 -10 103 101 21 8 -40 -95 90 60 -45 102 88 1 -64 -115 -156 2 -30 -118 19 1 -67
-42 -195 -28 -22 -204 6 117 81 134 -64 -235 -43 -25 -223 11 158 114 183 -50 -213 -31 -15 -206 18 152 113 174
80 71 66 51 14 45 63 53 66 -79 -98 -96 -120 -168 -128 -103 -122 -100 82 77 64 52 19 43 53 47 54
14 -16 18 -22 -57 -17 -21 -41 -18 -27 -53 -28 -48 -76 -46 -50 -62 -49 96 92 91 118 115 115 109 121 106
26 42 -47 36 53 -74 -42 -49 -93 92 101 -13 98 105 -47 0 -17 -82 47 56 -45 50 57 -82 -37 -54 -110
97 85 101 103 57 108 98 75 97 -106 -132 -100 -111 -171 -104 -102 -138 -100 38 21 46 40 -10 48 43 16 46
-22 -53 -24 -43 -79 -46 -32 -51 -36 -71 -97 -74 -74 -106 -78 -62 -75 -67 64 65 59 99 97 93 93 108 87
185 157 71 141 46 -39 69 -13 -72 130 80 -10 61 -60 -150 -15 -124 -186 122 72 -2 51 -67 -142 -13 -119 -168
122 158 33 46 -38 -130 0 -105 -128 182 194 29 75 -43 -175 -5 -146 -202 182 203 44 93 -12 -142 17 -111 -169
85 87 86 91 91 87 82 98 86 0 -13 0 -9 -26 -15 -4 -5 -1 -61 -87 -63 -83 -112 -91 -68 -80 -66
-92 -60 92 -40 0 174 94 142 207 -249 -209 -22 -192 -141 66 -24 32 124 -157 -121 55 -104 -59 136 54 104 188
22 4 -23 38 14 -30 20 7 -23 59 34 -1 75 43 -8 58 38 0 -10 -36 -62 0 -32 -74 -11 -32 -61
49 63 52 62 78 66 40 59 43 59 71 64 70 82 75 53 68 57 -81 -83 -78 -85 -88 -82 -88 -88 -87
-22 -200 -146 95 -53 -45 139 127 89 -39 -253 -212 123 -55 -66 209 176 118 -36 -240 -198 116 -51 -59 191 166 113
-96 -91 -93 -94 -66 -87 -99 -95 -97 53 89 71 73 135 97 42 75 58 -25 13 -2 -2 62 26 -33 3 -13
-22 -18 143 -177 -221 104 -34 -40 123 -36 -11 198 -216 -238 145 -53 -36 173 -17 0 188 -189 -220 140 -35 -28 162
-97 -90 -82 -99 -91 -87 -81 -94 -63 -1 11 -14 -7 6 -24 -33 -43 -40 112 138 74 116 142 73 51 53 18
-119 -85 -50 -55 86 67 -20 92 61 -134 -84 -36 -50 113 103 1 133 110 -149 -110 -63 -77 71 62 -25 91 70
65 43 62 56 -7 56 81 48 78 63 48 57 59 2 56 72 46 66 76 66 68 72 21 68 78 57 70
-56 -63 -54 -47 -32 -54 -52 -52 -55 -38 -40 -36 -24 -3 -31 -37 -31 -39 6 16 9 30 63 24 5 22 4
2 -9 -62 98 145 -11 59 105 -4 -79 -101 -158 20 59 -104 -12 26 -89 -2 -19 -76 94 135 -21 60 101 -9
-125 -134 -172 48 191 -44 47 186 -1 -148 -164 -218 65 205 -54 85 224 13 -138 -155 -204 58 193 -53 76 208 11
-156 -85 17 -123 72 176 -53 49 95 -221 -105 38 -165 83 227 -73 76 155 -206 -99 34 -155 79 209 -70 66 136
31 35 30 37 45 37 31 38 34 25 20 26 21 19 22 25 23 28 -87 -104 -88 -103 -116 -103 -89 -102 -87
-168 -143 -151 -51 171 2 22 235 68 -220 -179 -185 -61 185 11 39 276 103 -188 -145 -152 -44 195 26 38 265 100
87 110 28 8 2 -43 -45 -66 -68 150 168 77 51 37 -15 -19 -48 -56 66 79 0 -32 -50 -93 -87 -120 -120
52 23 46 62 9 51 52 24 41 -56 -101 -64 -58 -127 -69 -53 -95 -65 -18 -61 -23 -21 -88 -30 -16 -56 -26
-56 -57 -79 -9 12 -53 -20 -8 -54 33 33 -2 99 123 40 88 102 40 -54 -58 -83 0 18 -52 -7 2 -48
169 183 202 -2 -86 111 -58 -146 44 92 104 145 -118 -208 19 -187 -282 -59 149 159 193 -49 -138 78 -114 -207 3
-30 70 113 -97 10 99 -98 -66 0 -36 86 146 -118 12 123 -127 -78 7 -32 77 129 -111 6 108 -117 -76 3
94 93 109 -33 -169 -7 -56 -194 -45 157 152 174 -16 -165 13 -73 -227 -59 146 142 157 -11 -157 12 -61 -210 -52
5 -28 -90 87 71 -68 35 29 -58 49 2 -77 143 113 -46 94 76 -30 -21 -67 -131 59 31 -110 18 0 -89
54 146 217 -193 -125 157 -174 -151 67 50 182 294 -246 -135 203 -248 -188 85 52 169 262 -225 -128 186 -224 -173 80
-67 -95 -129 27 60 -92 -8 23 -74 -34 -69 -132 95 124 -63 59 89 -41 -14 -38 -103 115 154 -30 73 112 -16
-185 -195 -37 -94 -4 107 58 176 166 -247 -238 -46 -120 -2 138 78 223 232 -231 -227 -44 -113 -5 124 73 204 208
32 -53 -133 82 -15 -169 39 28 -56 85 -47 -183 157 10 -204 120 69 -69 100 -18 -154 174 43 -169 131 92 -44
47 134 203 -82 11 173 -70 7 117 -28 69 170 -186 -79 119 -169 -81 63 -45 30 129 -206 -120 73 -179 -111 31
2 5 2 10 21 11 2 8 5 64 68 67 71 83 74 63 70 68 -77 -82 -75 -81 -79 -78 -79 -82 -75
193 76 -50 170 -112 -265 138 -5 -114 256 80 -96 217 -136 -343 183 -23 -179 237 85 -75 203 -123 -313 167 -16 -158
26 13 45 -41 -77 21 1 -24 28 -38 -39 7 -119 -142 -23 -80 -93 -21 65 86 121 0 0 105 18 27 86
-138 -161 -2 -81 -69 72 -2 16 57 -173 -168 19 -73 -29 139 36 87 144 -140 -134 35 -36 6 155 62 111 153
56 -73 -86 129 -17 -41 167 120 78 -13 -170 -188 69 -104 -135 126 60 11 23 -125 -139 100 -63 -89 153 93 51
-60 -24 28 -50 7 73 -17 26 63 -37 10 78 -22 48 129 21 76 126 -122 -89 -21 -116 -62 17 -68 -29 20
22 50 117 -65 -53 94 -8 2 81 -59 -20 66 -158 -135 37 -93 -74 26 4 44 119 -84 -59 98 -26 -4 83
180 60 10 153 -65 -95 166 66 27 87 -68 -127 47 -211 -250 75 -58 -105 153 12 -42 117 -123 -159 141 21 -22
-145 -22 57 -146 140 227 -154 -11 60 -188 -20 88 -185 152 271 -200 -14 87 -163 -14 77 -162 150 248 -181 -12 73
-103 -125 -99 -126 -146 -120 -109 -130 -105 68 73 68 82 90 82 72 78 72 44 64 43 76 99 76 57 78 56
-145 -92 10 -117 72 189 -83 40 107 -187 -104 26 -141 86 229 -93 64 153 -173 -103 17 -133 73 204 -87 51 131
-67 -75 -71 -58 -26 -74 -72 -62 -78 -43 -50 -48 -35 -1 -52 -53 -42 -60 -65 -62 -66 -50 -7 -64 -76 -56 -80
-27 -120 -193 187 131 -139 123 125 -71 -26 -151 -258 223 137 -177 173 151 -85 -25 -141 -236 206 132 -160 157 142 -73
3 -32 -153 174 190 -122 23 27 -135 19 -36 -196 211 209 -149 50 38 -164 17 -20 -165 200 216 -119 45 48 -138
